Algorithm,Params,EvaluationMethod,TP,FP,FN,Precision,Recall,F1-Score,GT_Relevant,Predicted_Boxes,Timestamp,Seed,TotalSimTime,NumInitialObstacles,AgentSpeed,LiDAR_Range,PaddingCells,ClusteringTime_sec,LiDAR_Noise_Enabled,LiDAR_Noise_Level
GMM,"{'n_components': 49, 'covariance_type': 'full', 'random_state': 8}",2D_AREA_OVERLAP_RATIO,19,8,30,0.704,0.388,0.5,49,27,2025-05-22 17:26:51,8,20.0,60,20,30,1,0.3401,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,8,16,33,0.333,0.195,0.246,41,24,2025-05-22 17:26:57,9,20.0,60,20,30,1,0.0154,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,7,16,34,0.304,0.171,0.219,41,23,2025-05-22 17:26:57,9,20.0,60,20,30,1,0.0509,True,0.05
KMEANS,"{'n_clusters': 41, 'random_state': 9, 'n_init': 'auto'}",3D_IOU,2,32,39,0.059,0.049,0.053,41,34,2025-05-22 17:26:57,9,20.0,60,20,30,1,0.0164,True,0.05
GMM,"{'n_components': 41, 'covariance_type': 'full', 'random_state': 9}",3D_IOU,3,24,38,0.111,0.073,0.088,41,27,2025-05-22 17:26:57,9,20.0,60,20,30,1,0.2173,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,24,0,17,1.0,0.585,0.738,41,24,2025-05-22 17:26:57,9,20.0,60,20,30,1,0.0131,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,20,3,21,0.87,0.488,0.625,41,23,2025-05-22 17:26:57,9,20.0,60,20,30,1,0.0408,True,0.05
KMEANS,"{'n_clusters': 41, 'random_state': 9, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,24,10,17,0.706,0.585,0.64,41,34,2025-05-22 17:26:57,9,20.0,60,20,30,1,0.0145,True,0.05
GMM,"{'n_components': 41, 'covariance_type': 'full', 'random_state': 9}",2D_CENTER_IN_GT_AREA,21,6,20,0.778,0.512,0.618,41,27,2025-05-22 17:26:57,9,20.0,60,20,30,1,0.2037,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,22,2,19,0.917,0.537,0.677,41,24,2025-05-22 17:26:57,9,20.0,60,20,30,1,0.0123,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,21,2,20,0.913,0.512,0.656,41,23,2025-05-22 17:26:57,9,20.0,60,20,30,1,0.0412,True,0.05
KMEANS,"{'n_clusters': 41, 'random_state': 9, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,24,10,17,0.706,0.585,0.64,41,34,2025-05-22 17:26:57,9,20.0,60,20,30,1,0.0146,True,0.05
GMM,"{'n_components': 41, 'covariance_type': 'full', 'random_state': 9}",2D_AREA_OVERLAP_RATIO,21,6,20,0.778,0.512,0.618,41,27,2025-05-22 17:26:57,9,20.0,60,20,30,1,0.1953,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,16,15,39,0.516,0.291,0.372,55,31,2025-05-22 17:27:04,10,20.0,60,20,30,1,0.0208,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,13,18,42,0.419,0.236,0.302,55,31,2025-05-22 17:27:04,10,20.0,60,20,30,1,0.0743,True,0.05
KMEANS,"{'n_clusters': 55, 'random_state': 10, 'n_init': 'auto'}",3D_IOU,12,30,43,0.286,0.218,0.247,55,42,2025-05-22 17:27:04,10,20.0,60,20,30,1,0.0293,True,0.05
GMM,"{'n_components': 55, 'covariance_type': 'full', 'random_state': 10}",3D_IOU,8,20,47,0.286,0.145,0.193,55,28,2025-05-22 17:27:04,10,20.0,60,20,30,1,0.5498,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,30,1,25,0.968,0.545,0.698,55,31,2025-05-22 17:27:04,10,20.0,60,20,30,1,0.0184,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,29,2,26,0.935,0.527,0.674,55,31,2025-05-22 17:27:04,10,20.0,60,20,30,1,0.0642,True,0.05
KMEANS,"{'n_clusters': 55, 'random_state': 10, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,31,11,24,0.738,0.564,0.639,55,42,2025-05-22 17:27:04,10,20.0,60,20,30,1,0.0194,True,0.05
GMM,"{'n_components': 55, 'covariance_type': 'full', 'random_state': 10}",2D_CENTER_IN_GT_AREA,22,6,33,0.786,0.4,0.53,55,28,2025-05-22 17:27:04,10,20.0,60,20,30,1,0.5421,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,28,3,27,0.903,0.509,0.651,55,31,2025-05-22 17:27:04,10,20.0,60,20,30,1,0.0181,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,28,3,27,0.903,0.509,0.651,55,31,2025-05-22 17:27:04,10,20.0,60,20,30,1,0.0595,True,0.05
KMEANS,"{'n_clusters': 55, 'random_state': 10, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,30,12,25,0.714,0.545,0.619,55,42,2025-05-22 17:27:04,10,20.0,60,20,30,1,0.0221,True,0.05
GMM,"{'n_components': 55, 'covariance_type': 'full', 'random_state': 10}",2D_AREA_OVERLAP_RATIO,22,6,33,0.786,0.4,0.53,55,28,2025-05-22 17:27:04,10,20.0,60,20,30,1,0.5701,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,8,8,22,0.5,0.267,0.348,30,16,2025-05-22 17:27:09,1,20.0,60,20,30,1,0.013,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,8,10,22,0.444,0.267,0.333,30,18,2025-05-22 17:27:09,1,20.0,60,20,30,1,0.0419,True,0.05
KMEANS,"{'n_clusters': 30, 'random_state': 1, 'n_init': 'auto'}",3D_IOU,3,24,27,0.111,0.1,0.105,30,27,2025-05-22 17:27:09,1,20.0,60,20,30,1,0.0137,True,0.05
GMM,"{'n_components': 30, 'covariance_type': 'full', 'random_state': 1}",3D_IOU,4,16,26,0.2,0.133,0.16,30,20,2025-05-22 17:27:09,1,20.0,60,20,30,1,0.1722,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,16,0,14,1.0,0.533,0.696,30,16,2025-05-22 17:27:09,1,20.0,60,20,30,1,0.0108,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,17,1,13,0.944,0.567,0.708,30,18,2025-05-22 17:27:09,1,20.0,60,20,30,1,0.0338,True,0.05
KMEANS,"{'n_clusters': 30, 'random_state': 1, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,18,9,12,0.667,0.6,0.632,30,27,2025-05-22 17:27:09,1,20.0,60,20,30,1,0.0105,True,0.05
GMM,"{'n_components': 30, 'covariance_type': 'full', 'random_state': 1}",2D_CENTER_IN_GT_AREA,16,4,14,0.8,0.533,0.64,30,20,2025-05-22 17:27:09,1,20.0,60,20,30,1,0.1527,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,16,0,14,1.0,0.533,0.696,30,16,2025-05-22 17:27:09,1,20.0,60,20,30,1,0.0097,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,18,0,12,1.0,0.6,0.75,30,18,2025-05-22 17:27:09,1,20.0,60,20,30,1,0.0361,True,0.05
KMEANS,"{'n_clusters': 30, 'random_state': 1, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,18,9,12,0.667,0.6,0.632,30,27,2025-05-22 17:27:09,1,20.0,60,20,30,1,0.0099,True,0.05
GMM,"{'n_components': 30, 'covariance_type': 'full', 'random_state': 1}",2D_AREA_OVERLAP_RATIO,16,4,14,0.8,0.533,0.64,30,20,2025-05-22 17:27:09,1,20.0,60,20,30,1,0.1465,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,3,8,32,0.273,0.086,0.13,35,11,2025-05-22 17:27:13,5,20.0,60,20,30,1,0.0053,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,3,12,32,0.2,0.086,0.12,35,15,2025-05-22 17:27:13,5,20.0,60,20,30,1,0.0184,True,0.05
KMEANS,"{'n_clusters': 35, 'random_state': 5, 'n_init': 'auto'}",3D_IOU,1,19,34,0.05,0.029,0.036,35,20,2025-05-22 17:27:13,5,20.0,60,20,30,1,0.0106,True,0.05
GMM,"{'n_components': 35, 'covariance_type': 'full', 'random_state': 5}",3D_IOU,1,10,34,0.091,0.029,0.043,35,11,2025-05-22 17:27:13,5,20.0,60,20,30,1,0.131,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,11,0,24,1.0,0.314,0.478,35,11,2025-05-22 17:27:13,5,20.0,60,20,30,1,0.0055,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,12,3,23,0.8,0.343,0.48,35,15,2025-05-22 17:27:13,5,20.0,60,20,30,1,0.0185,True,0.05
KMEANS,"{'n_clusters': 35, 'random_state': 5, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,11,9,24,0.55,0.314,0.4,35,20,2025-05-22 17:27:13,5,20.0,60,20,30,1,0.0074,True,0.05
GMM,"{'n_components': 35, 'covariance_type': 'full', 'random_state': 5}",2D_CENTER_IN_GT_AREA,7,4,28,0.636,0.2,0.304,35,11,2025-05-22 17:27:13,5,20.0,60,20,30,1,0.0889,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,10,1,25,0.909,0.286,0.435,35,11,2025-05-22 17:27:13,5,20.0,60,20,30,1,0.0041,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,12,3,23,0.8,0.343,0.48,35,15,2025-05-22 17:27:13,5,20.0,60,20,30,1,0.0168,True,0.05
KMEANS,"{'n_clusters': 35, 'random_state': 5, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,12,8,23,0.6,0.343,0.436,35,20,2025-05-22 17:27:13,5,20.0,60,20,30,1,0.0082,True,0.05
GMM,"{'n_components': 35, 'covariance_type': 'full', 'random_state': 5}",2D_AREA_OVERLAP_RATIO,7,4,28,0.636,0.2,0.304,35,11,2025-05-22 17:27:13,5,20.0,60,20,30,1,0.0832,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,7,12,48,0.368,0.127,0.189,55,19,2025-05-22 17:27:22,7,20.0,60,20,30,1,0.0094,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,7,15,48,0.318,0.127,0.182,55,22,2025-05-22 17:27:22,7,20.0,60,20,30,1,0.0335,True,0.05
KMEANS,"{'n_clusters': 55, 'random_state': 7, 'n_init': 'auto'}",3D_IOU,0,38,55,0.0,0.0,0.0,55,38,2025-05-22 17:27:22,7,20.0,60,20,30,1,0.0194,True,0.05
GMM,"{'n_components': 55, 'covariance_type': 'full', 'random_state': 7}",3D_IOU,1,25,54,0.038,0.018,0.025,55,26,2025-05-22 17:27:22,7,20.0,60,20,30,1,0.2796,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,18,1,37,0.947,0.327,0.486,55,19,2025-05-22 17:27:22,7,20.0,60,20,30,1,0.0067,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,19,3,36,0.864,0.345,0.494,55,22,2025-05-22 17:27:22,7,20.0,60,20,30,1,0.0257,True,0.05
KMEANS,"{'n_clusters': 55, 'random_state': 7, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,22,16,33,0.579,0.4,0.473,55,38,2025-05-22 17:27:22,7,20.0,60,20,30,1,0.0177,True,0.05
GMM,"{'n_components': 55, 'covariance_type': 'full', 'random_state': 7}",2D_CENTER_IN_GT_AREA,17,9,38,0.654,0.309,0.42,55,26,2025-05-22 17:27:22,7,20.0,60,20,30,1,0.2544,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,17,2,38,0.895,0.309,0.459,55,19,2025-05-22 17:27:22,7,20.0,60,20,30,1,0.0066,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,21,1,34,0.955,0.382,0.545,55,22,2025-05-22 17:27:22,7,20.0,60,20,30,1,0.0247,True,0.05
KMEANS,"{'n_clusters': 55, 'random_state': 7, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,21,17,34,0.553,0.382,0.452,55,38,2025-05-22 17:27:22,7,20.0,60,20,30,1,0.0137,True,0.05
GMM,"{'n_components': 55, 'covariance_type': 'full', 'random_state': 7}",2D_AREA_OVERLAP_RATIO,18,8,37,0.692,0.327,0.444,55,26,2025-05-22 17:27:22,7,20.0,60,20,30,1,0.2462,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,6,17,46,0.261,0.115,0.16,52,23,2025-05-22 17:27:26,8,20.0,60,20,30,1,0.0093,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,7,20,45,0.259,0.135,0.177,52,27,2025-05-22 17:27:26,8,20.0,60,20,30,1,0.0356,True,0.05
KMEANS,"{'n_clusters': 52, 'random_state': 8, 'n_init': 'auto'}",3D_IOU,2,36,50,0.053,0.038,0.044,52,38,2025-05-22 17:27:26,8,20.0,60,20,30,1,0.0181,True,0.05
GMM,"{'n_components': 52, 'covariance_type': 'full', 'random_state': 8}",3D_IOU,2,29,50,0.065,0.038,0.048,52,31,2025-05-22 17:27:26,8,20.0,60,20,30,1,0.2036,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,21,2,31,0.913,0.404,0.56,52,23,2025-05-22 17:27:26,8,20.0,60,20,30,1,0.0079,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,24,3,28,0.889,0.462,0.608,52,27,2025-05-22 17:27:26,8,20.0,60,20,30,1,0.0273,True,0.05
KMEANS,"{'n_clusters': 52, 'random_state': 8, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,26,12,26,0.684,0.5,0.578,52,38,2025-05-22 17:27:26,8,20.0,60,20,30,1,0.0151,True,0.05
GMM,"{'n_components': 52, 'covariance_type': 'full', 'random_state': 8}",2D_CENTER_IN_GT_AREA,22,9,30,0.71,0.423,0.53,52,31,2025-05-22 17:27:26,8,20.0,60,20,30,1,0.1698,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,22,1,30,0.957,0.423,0.587,52,23,2025-05-22 17:27:26,8,20.0,60,20,30,1,0.0064,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,25,2,27,0.926,0.481,0.633,52,27,2025-05-22 17:27:26,8,20.0,60,20,30,1,0.0329,True,0.05
KMEANS,"{'n_clusters': 52, 'random_state': 8, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,28,10,24,0.737,0.538,0.622,52,38,2025-05-22 17:27:26,8,20.0,60,20,30,1,0.0135,True,0.05
GMM,"{'n_components': 52, 'covariance_type': 'full', 'random_state': 8}",2D_AREA_OVERLAP_RATIO,24,7,28,0.774,0.462,0.578,52,31,2025-05-22 17:27:26,8,20.0,60,20,30,1,0.1813,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,10,16,44,0.385,0.185,0.25,54,26,2025-05-22 17:27:32,9,20.0,60,20,30,1,0.0115,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,9,18,45,0.333,0.167,0.222,54,27,2025-05-22 17:27:32,9,20.0,60,20,30,1,0.0396,True,0.05
KMEANS,"{'n_clusters': 54, 'random_state': 9, 'n_init': 'auto'}",3D_IOU,1,42,53,0.023,0.019,0.021,54,43,2025-05-22 17:27:32,9,20.0,60,20,30,1,0.0197,True,0.05
GMM,"{'n_components': 54, 'covariance_type': 'full', 'random_state': 9}",3D_IOU,2,36,52,0.053,0.037,0.043,54,38,2025-05-22 17:27:32,9,20.0,60,20,30,1,0.2928,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,26,0,28,1.0,0.481,0.65,54,26,2025-05-22 17:27:32,9,20.0,60,20,30,1,0.0084,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,23,4,31,0.852,0.426,0.568,54,27,2025-05-22 17:27:32,9,20.0,60,20,30,1,0.0284,True,0.05
KMEANS,"{'n_clusters': 54, 'random_state': 9, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,27,16,27,0.628,0.5,0.557,54,43,2025-05-22 17:27:32,9,20.0,60,20,30,1,0.0142,True,0.05
GMM,"{'n_components': 54, 'covariance_type': 'full', 'random_state': 9}",2D_CENTER_IN_GT_AREA,25,13,29,0.658,0.463,0.543,54,38,2025-05-22 17:27:32,9,20.0,60,20,30,1,0.2865,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,24,2,30,0.923,0.444,0.6,54,26,2025-05-22 17:27:32,9,20.0,60,20,30,1,0.0083,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,26,1,28,0.963,0.481,0.642,54,27,2025-05-22 17:27:32,9,20.0,60,20,30,1,0.0288,True,0.05
KMEANS,"{'n_clusters': 54, 'random_state': 9, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,27,16,27,0.628,0.5,0.557,54,43,2025-05-22 17:27:32,9,20.0,60,20,30,1,0.0148,True,0.05
GMM,"{'n_components': 54, 'covariance_type': 'full', 'random_state': 9}",2D_AREA_OVERLAP_RATIO,25,13,29,0.658,0.463,0.543,54,38,2025-05-22 17:27:32,9,20.0,60,20,30,1,0.2716,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,8,16,46,0.333,0.148,0.205,54,24,2025-05-22 17:27:38,10,20.0,60,20,30,1,0.0181,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,6,19,48,0.24,0.111,0.152,54,25,2025-05-22 17:27:38,10,20.0,60,20,30,1,0.0551,True,0.05
KMEANS,"{'n_clusters': 54, 'random_state': 10, 'n_init': 'auto'}",3D_IOU,0,37,54,0.0,0.0,0.0,54,37,2025-05-22 17:27:38,10,20.0,60,20,30,1,0.0249,True,0.05
GMM,"{'n_components': 54, 'covariance_type': 'full', 'random_state': 10}",3D_IOU,0,25,54,0.0,0.0,0.0,54,25,2025-05-22 17:27:38,10,20.0,60,20,30,1,0.3066,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,23,1,31,0.958,0.426,0.59,54,24,2025-05-22 17:27:38,10,20.0,60,20,30,1,0.015,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,21,4,33,0.84,0.389,0.532,54,25,2025-05-22 17:27:38,10,20.0,60,20,30,1,0.0414,True,0.05
KMEANS,"{'n_clusters': 54, 'random_state': 10, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,25,12,29,0.676,0.463,0.549,54,37,2025-05-22 17:27:38,10,20.0,60,20,30,1,0.0192,True,0.05
GMM,"{'n_components': 54, 'covariance_type': 'full', 'random_state': 10}",2D_CENTER_IN_GT_AREA,20,5,34,0.8,0.37,0.506,54,25,2025-05-22 17:27:38,10,20.0,60,20,30,1,0.2748,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,19,5,35,0.792,0.352,0.487,54,24,2025-05-22 17:27:38,10,20.0,60,20,30,1,0.0141,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,20,5,34,0.8,0.37,0.506,54,25,2025-05-22 17:27:38,10,20.0,60,20,30,1,0.0424,True,0.05
KMEANS,"{'n_clusters': 54, 'random_state': 10, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,20,17,34,0.541,0.37,0.44,54,37,2025-05-22 17:27:38,10,20.0,60,20,30,1,0.0205,True,0.05
GMM,"{'n_components': 54, 'covariance_type': 'full', 'random_state': 10}",2D_AREA_OVERLAP_RATIO,17,8,37,0.68,0.315,0.43,54,25,2025-05-22 17:27:38,10,20.0,60,20,30,1,0.2879,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,9,11,43,0.45,0.173,0.25,52,20,2025-05-22 17:27:45,1,20.0,60,20,30,1,0.0144,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,6,16,46,0.273,0.115,0.162,52,22,2025-05-22 17:27:45,1,20.0,60,20,30,1,0.0477,True,0.05
KMEANS,"{'n_clusters': 52, 'random_state': 1, 'n_init': 'auto'}",3D_IOU,2,34,50,0.056,0.038,0.045,52,36,2025-05-22 17:27:45,1,20.0,60,20,30,1,0.0204,True,0.05
GMM,"{'n_components': 52, 'covariance_type': 'full', 'random_state': 1}",3D_IOU,1,21,51,0.045,0.019,0.027,52,22,2025-05-22 17:27:45,1,20.0,60,20,30,1,0.3498,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,20,0,32,1.0,0.385,0.556,52,20,2025-05-22 17:27:45,1,20.0,60,20,30,1,0.0123,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,18,4,34,0.818,0.346,0.486,52,22,2025-05-22 17:27:45,1,20.0,60,20,30,1,0.0334,True,0.05
KMEANS,"{'n_clusters': 52, 'random_state': 1, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,20,16,32,0.556,0.385,0.455,52,36,2025-05-22 17:27:45,1,20.0,60,20,30,1,0.039,True,0.05
GMM,"{'n_components': 52, 'covariance_type': 'full', 'random_state': 1}",2D_CENTER_IN_GT_AREA,15,7,37,0.682,0.288,0.405,52,22,2025-05-22 17:27:45,1,20.0,60,20,30,1,0.3303,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,19,1,33,0.95,0.365,0.528,52,20,2025-05-22 17:27:45,1,20.0,60,20,30,1,0.0115,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,20,2,32,0.909,0.385,0.541,52,22,2025-05-22 17:27:45,1,20.0,60,20,30,1,0.0362,True,0.05
KMEANS,"{'n_clusters': 52, 'random_state': 1, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,18,18,34,0.5,0.346,0.409,52,36,2025-05-22 17:27:45,1,20.0,60,20,30,1,0.0156,True,0.05
GMM,"{'n_components': 52, 'covariance_type': 'full', 'random_state': 1}",2D_AREA_OVERLAP_RATIO,14,8,38,0.636,0.269,0.378,52,22,2025-05-22 17:27:45,1,20.0,60,20,30,1,0.3429,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,5,5,18,0.5,0.217,0.303,23,10,2025-05-22 17:27:51,5,20.0,60,20,30,1,0.0076,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,4,9,19,0.308,0.174,0.222,23,13,2025-05-22 17:27:51,5,20.0,60,20,30,1,0.0209,True,0.05
KMEANS,"{'n_clusters': 23, 'random_state': 5, 'n_init': 'auto'}",3D_IOU,2,16,21,0.111,0.087,0.098,23,18,2025-05-22 17:27:51,5,20.0,60,20,30,1,0.0194,True,0.05
GMM,"{'n_components': 23, 'covariance_type': 'full', 'random_state': 5}",3D_IOU,2,12,21,0.143,0.087,0.108,23,14,2025-05-22 17:27:51,5,20.0,60,20,30,1,0.0911,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,10,0,13,1.0,0.435,0.606,23,10,2025-05-22 17:27:51,5,20.0,60,20,30,1,0.0075,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,10,3,13,0.769,0.435,0.556,23,13,2025-05-22 17:27:51,5,20.0,60,20,30,1,0.0284,True,0.05
